Hotel,Customer Country,Customer ID,Booking_ID,Booking Date,Lead Time,Arrival Date,Weekend Nights,Week Nights,Adults,Children,is_canceled,Meal,Market Segment,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,Customer Cancel Count,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
Resort Hotel - Chennai,Australia,CUST_168,INN00024,10-Jan-24,72,22-Mar-24,2,4,2,0,0,BB,Direct,0,0,0,D,D,1,0,99.67,0,1,Check-Out
Resort Hotel - Ahmedabad,India,CUST_221,INN00025,21-Oct-23,127,25-Feb-24,2,5,2,0,0,HB,Offline TA/TO,0,0,0,D,I,0,0,94.95,0,1,Check-Out
Resort Hotel - Pune,UK,CUST_164,INN00026,7-May-24,78,24-Jul-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,1,63.6,1,0,Check-Out
Resort Hotel - Pune,France,CUST_046,INN00027,14-Oct-24,48,1-Dec-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,0,79.5,0,0,Check-Out
Resort Hotel - Chennai,USA,CUST_513,INN00028,4-Sep-24,60,3-Nov-24,2,5,2,0,1,BB,Online TA,0,0,0,E,E,0,1,107,0,2,Canceled
Resort Hotel - Kochi,India,CUST_072,INN00029,14-Aug-24,77,30-Oct-24,2,5,2,0,0,BB,Online TA,0,0,0,A,A,0,2,94,0,0,Check-Out
Resort Hotel - Chennai,Germany,CUST_155,INN00030,6-Dec-23,99,14-Mar-24,2,5,2,0,0,BB,Online TA,0,0,0,D,D,0,3,87.3,1,1,Check-Out
Resort Hotel - Kochi,USA,CUST_023,INN00031,15-Aug-24,118,11-Dec-24,4,10,1,0,0,BB,Direct,0,0,0,A,A,2,0,62,0,2,Check-Out
Resort Hotel - Kochi,Germany,CUST_535,INN00032,26-Sep-24,95,30-Dec-24,4,11,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,0,63.86,0,0,Check-Out
Resort Hotel - Delhi,Canada,CUST_369,INN00033,3-Oct-23,96,7-Jan-24,2,8,2,0,1,BB,Direct,0,0,0,E,E,0,2,108.3,0,2,Canceled
Resort Hotel - Kolkata,Canada,CUST_239,INN00034,2-Mar-24,69,10-May-24,2,4,2,0,0,BB,Offline TA/TO,0,0,0,A,C,0,0,65.5,0,0,Check-Out
Resort Hotel - Hyderabad,UAE,CUST_497,INN00035,24-Jun-24,45,8-Aug-24,1,3,3,0,1,BB,Online TA,0,0,0,D,D,0,3,108.8,0,1,Canceled
Resort Hotel - Mumbai,Germany,CUST_205,INN00036,13-Mar-24,40,22-Apr-24,1,3,3,0,1,BB,Online TA,0,0,0,D,D,0,0,108.8,0,1,Canceled
Resort Hotel - Mumbai,Canada,CUST_339,INN00037,6-Feb-24,15,21-Feb-24,1,3,2,0,0,BB,Online TA,0,0,0,A,C,0,1,98,0,0,Check-Out
Resort Hotel - Chennai,Australia,CUST_578,INN00038,23-Jan-24,36,28-Feb-24,1,3,3,0,0,BB,Online TA,0,0,0,D,D,0,2,108.8,0,1,Check-Out
Resort Hotel - Jaipur,Canada,CUST_389,INN00039,5-Dec-23,43,17-Jan-24,1,3,3,0,1,BB,Online TA,0,0,0,D,D,0,0,108.8,0,0,Canceled
Resort Hotel - Bangalore,UAE,CUST_227,INN00040,6-Nov-23,70,15-Jan-24,2,3,2,0,0,HB,Direct,0,0,0,E,E,0,1,137,0,1,Check-Out
Resort Hotel - Jaipur,Germany,CUST_055,INN00041,20-Dec-23,45,3-Feb-24,2,3,2,0,1,BB,Online TA,0,0,0,G,G,0,0,117.81,0,0,Canceled
Resort Hotel - Pune,Australia,CUST_308,INN00042,9-Dec-23,45,23-Jan-24,2,3,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,3,79.5,0,0,Check-Out
Resort Hotel - Kochi,Canada,CUST_599,INN00043,24-Apr-24,16,10-May-24,2,3,2,0,0,BB,Direct,0,0,0,F,F,0,2,123,0,0,Check-Out
Resort Hotel - Chandigarh,India,CUST_160,INN00044,23-Aug-24,70,1-Nov-24,2,3,2,0,0,HB,Direct,0,0,0,E,E,0,1,137,0,1,Check-Out
Resort Hotel - Pune,India,CUST_242,INN00045,28-Feb-24,107,14-Jun-24,2,5,2,0,0,BB,Online TA,0,0,0,A,A,0,1,110.7,0,2,Check-Out
Resort Hotel - Delhi,UAE,CUST_107,INN00046,17-May-24,47,3-Jul-24,2,5,2,2,1,BB,Online TA,0,0,0,G,G,0,1,153,0,0,Canceled
Resort Hotel - Kolkata,USA,CUST_543,INN00047,1-May-24,96,5-Aug-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,0,58.95,0,1,Check-Out
Resort Hotel - Bhopal,Australia,CUST_038,INN00048,14-Oct-23,113,4-Feb-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,E,E,0,2,82.88,0,2,Check-Out
Resort Hotel - Mumbai,Australia,CUST_308,INN00049,20-Jan-24,90,19-Apr-24,2,5,2,0,0,HB,Offline TA/TO,0,0,0,A,B,1,3,82.35,0,0,Check-Out
Resort Hotel - Goa,France,CUST_346,INN00050,8-Nov-24,50,28-Dec-24,2,5,2,0,0,HB,Online TA,0,0,0,E,F,1,2,119.35,0,1,Check-Out
Resort Hotel - Mumbai,UAE,CUST_217,INN00051,2-Dec-23,113,24-Mar-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,2,67.58,0,2,Check-Out
Resort Hotel - Ahmedabad,India,CUST_391,INN00052,25-Oct-23,93,26-Jan-24,3,8,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,1,56.01,0,0,Check-Out
Resort Hotel - Lucknow,France,CUST_366,INN00053,17-Apr-24,76,2-Jul-24,4,10,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,1,110.7,0,0,Check-Out
Resort Hotel - Pune,UAE,CUST_017,INN00054,24-Aug-24,3,27-Aug-24,0,1,2,0,0,BB,Online TA,0,0,0,A,C,0,1,88.2,1,0,Check-Out
Resort Hotel - Bhopal,UK,CUST_294,INN00055,4-Nov-24,1,5-Nov-24,0,1,2,0,0,BB,Online TA,0,0,0,H,H,0,0,147,1,0,Check-Out
Resort Hotel - Bangalore,Germany,CUST_465,INN00056,26-Jan-24,1,27-Jan-24,0,1,2,2,0,BB,Direct,0,0,0,C,C,0,0,107,1,2,Check-Out
Resort Hotel - Bangalore,India,CUST_431,INN00057,15-Jul-24,0,15-Jul-24,0,1,2,0,0,BB,Direct,0,0,0,H,H,0,0,147,0,0,Check-Out
Resort Hotel - Delhi,India,CUST_502,INN00058,14-Oct-24,0,14-Oct-24,0,1,2,0,0,BB,Online TA,0,0,0,A,D,0,2,117.9,0,2,Check-Out
Resort Hotel - Mumbai,India,CUST_301,INN00059,21-Nov-24,0,21-Nov-24,0,1,2,0,0,BB,Direct,0,0,0,G,G,0,1,123,0,0,Check-Out
Resort Hotel - Chennai,India,CUST_132,INN00060,18-Apr-24,14,2-May-24,0,2,2,0,0,BB,Online TA,0,0,0,A,C,0,0,98,0,1,Check-Out
Resort Hotel - Delhi,Germany,CUST_405,INN00061,31-Jul-24,10,10-Aug-24,0,2,2,0,0,BB,Online TA,0,0,0,G,G,0,0,117.81,0,0,Check-Out
Resort Hotel - Jaipur,Germany,CUST_295,INN00062,25-May-24,5,30-May-24,0,2,2,0,0,BB,Online TA,0,0,0,E,E,0,1,135,1,2,Check-Out
Resort Hotel - Delhi,India,CUST_071,INN00063,15-Apr-24,17,2-May-24,0,3,2,0,0,BB,Direct,0,0,0,F,F,0,0,133,0,1,Check-Out
Resort Hotel - Kochi,Australia,CUST_068,INN00064,4-Apr-24,93,6-Jul-24,0,3,2,0,0,BB,Offline TA/TO,0,0,0,A,C,0,2,58.95,0,0,Check-Out
Resort Hotel - Kochi,Canada,CUST_289,INN00065,28-Jul-24,3,31-Jul-24,0,3,2,0,1,HB,Online TA,0,0,0,A,A,0,2,136.33,0,2,Canceled
Resort Hotel - Chandigarh,UK,CUST_234,INN00066,13-Nov-24,10,23-Nov-24,0,2,2,2,0,BB,Online TA,0,0,0,G,H,0,1,153,1,0,Check-Out
Resort Hotel - Lucknow,UK,CUST_464,INN00067,5-Jan-24,3,8-Jan-24,0,2,2,0,0,BB,Online TA,0,0,0,A,C,0,0,110.5,0,0,Check-Out
Resort Hotel - Kochi,UK,CUST_164,INN00068,12-Apr-24,51,2-Jun-24,0,2,2,0,0,BB,Online TA,0,0,0,D,D,0,1,97,0,0,Check-Out
Resort Hotel - Chandigarh,Canada,CUST_359,INN00069,15-Jun-24,71,25-Aug-24,0,2,3,0,1,BB,Offline TA/TO,0,0,0,A,A,0,2,110.3,0,2,Canceled
Resort Hotel - Kolkata,India,CUST_142,INN00070,1-Dec-23,63,2-Feb-24,0,2,2,0,1,BB,Online TA,0,0,0,A,A,0,0,82,0,2,Canceled
Resort Hotel - Kolkata,France,CUST_326,INN00071,3-Jul-24,62,3-Sep-24,0,2,2,0,1,BB,Online TA,0,0,0,D,D,0,2,97,0,1,Canceled
Resort Hotel - Jaipur,India,CUST_561,INN00072,21-May-24,101,30-Aug-24,0,2,2,0,1,BB,Online TA,0,0,0,A,A,0,1,73.8,0,1,Canceled
Resort Hotel - Jaipur,Australia,CUST_488,INN00073,22-Oct-24,2,24-Oct-24,0,2,2,0,0,HB,Offline TA/TO,0,0,0,A,A,0,0,91.5,0,0,Check-Out
Resort Hotel - Ahmedabad,Germany,CUST_395,INN00074,15-Dec-24,15,30-Dec-24,0,2,2,0,0,BB,Online TA,0,0,0,A,A,0,1,114.5,0,0,Check-Out
Resort Hotel - Lucknow,India,CUST_300,INN00075,23-Dec-23,51,12-Feb-24,0,2,3,0,1,BB,Online TA,0,0,0,A,A,0,1,110.3,0,0,Canceled
Resort Hotel - Lucknow,Australia,CUST_468,INN00076,11-Aug-24,3,14-Aug-24,1,2,2,0,0,BB,Online TA,0,0,0,A,A,0,1,90.9,1,0,Check-Out
Resort Hotel - Kochi,France,CUST_546,INN00077,16-Nov-23,48,3-Jan-24,1,2,2,0,1,BB,Online TA,0,0,0,E,E,0,0,123,0,0,Canceled
Resort Hotel - Mumbai,India,CUST_390,INN00078,4-Jul-24,2,6-Jul-24,2,2,1,0,0,BB,Online TA,0,0,0,A,A,0,1,122,0,0,Check-Out
Resort Hotel - Chennai,UAE,CUST_517,INN00079,14-Nov-23,72,25-Jan-24,2,2,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,1,110.7,1,0,Check-Out
Resort Hotel - Bhopal,Germany,CUST_035,INN00080,29-Feb-24,81,20-May-24,2,6,3,0,0,BB,Offline TA/TO,0,0,0,D,D,0,0,85.86,0,0,Check-Out
Resort Hotel - Kolkata,India,CUST_262,INN00081,5-May-24,99,12-Aug-24,2,7,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,2,58.95,0,0,Check-Out
Resort Hotel - Jaipur,UAE,CUST_247,INN00082,26-Dec-23,368,28-Dec-24,3,7,2,0,1,BB,Offline TA/TO,0,0,0,A,A,0,0,55.68,0,0,Canceled
Resort Hotel - Pune,Germany,CUST_065,INN00083,11-Nov-23,364,9-Nov-24,3,7,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,2,55.68,0,0,Check-Out
Resort Hotel - Jaipur,UAE,CUST_477,INN00084,7-Mar-24,81,27-May-24,3,7,2,0,1,HB,Direct,0,0,0,A,A,2,0,124,0,1,Canceled
Resort Hotel - Pune,Australia,CUST_358,INN00085,13-Jul-24,99,20-Oct-24,3,7,2,0,0,HB,Offline TA/TO,0,0,0,E,E,0,2,111.15,0,0,Check-Out
Resort Hotel - Jaipur,Australia,CUST_488,INN00086,3-May-23,324,22-Mar-24,4,10,2,0,0,HB,Offline TA/TO,0,0,0,E,E,0,0,134.73,0,0,Check-Out
Resort Hotel - Bhopal,Germany,CUST_595,INN00087,22-Sep-24,69,30-Nov-24,4,10,2,0,0,BB,Online TA,0,0,0,F,F,1,1,92.45,0,1,Check-Out
Resort Hotel - Chandigarh,Australia,CUST_308,INN00088,9-Dec-23,79,26-Feb-24,6,15,2,1,1,BB,Offline TA/TO,0,0,0,A,A,0,3,108.73,0,2,Canceled
Resort Hotel - Chennai,France,CUST_236,INN00089,1-Jun-24,12,13-Jun-24,0,1,2,0,0,BB,Online TA,0,0,0,A,C,0,1,73.8,0,0,Check-Out
Resort Hotel - Delhi,France,CUST_106,INN00090,16-Sep-24,9,25-Sep-24,0,1,2,0,0,BB,Online TA,0,0,0,A,C,0,0,98,1,2,Check-Out
Resort Hotel - Chennai,France,CUST_136,INN00091,5-Sep-24,1,6-Sep-24,0,1,2,0,0,BB,Online TA,0,0,0,A,C,0,1,131,0,1,Check-Out
Resort Hotel - Ahmedabad,Canada,CUST_389,INN00092,14-Apr-24,21,5-May-24,0,1,2,0,0,BB,Online TA,0,0,0,E,E,0,0,123,0,0,Check-Out
Resort Hotel - Delhi,India,CUST_560,INN00093,15-Sep-24,9,24-Sep-24,0,1,2,0,0,BB,Online TA,0,0,0,C,C,0,1,94.71,0,0,Check-Out
Resort Hotel - Hyderabad,Australia,CUST_218,INN00094,30-Apr-24,109,17-Aug-24,0,1,2,0,0,BB,Online TA,0,0,0,A,A,0,0,123,0,2,Check-Out
Resort Hotel - Bangalore,UK,CUST_274,INN00095,20-May-24,109,6-Sep-24,0,2,2,0,1,BB,Online TA,0,0,0,A,A,0,0,123,0,1,Canceled
Resort Hotel - Bhopal,India,CUST_500,INN00096,9-Jan-24,72,21-Mar-24,0,2,2,0,1,BB,Online TA,0,0,0,A,A,0,1,73.8,0,1,Canceled
Resort Hotel - Hyderabad,Australia,CUST_578,INN00097,18-Jul-24,63,19-Sep-24,2,5,2,0,1,BB,Online TA,0,0,0,F,F,0,2,117,0,1,Canceled
Resort Hotel - Hyderabad,Canada,CUST_069,INN00098,19-Sep-24,63,21-Nov-24,2,5,3,0,0,HB,Offline TA/TO,0,0,0,E,E,0,0,196.54,0,1,Check-Out
Resort Hotel - Lucknow,UK,CUST_004,INN00099,12-Oct-23,101,21-Jan-24,2,5,2,1,0,BB,Online TA,0,0,0,D,D,0,1,99.3,1,2,Check-Out
Resort Hotel - Mumbai,Canada,CUST_329,INN00100,22-Sep-23,102,2-Jan-24,2,5,2,0,0,BB,Direct,0,0,0,E,E,0,1,90.95,0,0,Check-Out
Resort Hotel - Chandigarh,UAE,CUST_357,INN00101,1-Aug-24,4,5-Aug-24,2,1,2,0,0,BB,Direct,0,0,0,A,C,0,0,92.67,0,1,Check-Out
Resort Hotel - Lucknow,USA,CUST_293,INN00102,8-Jan-24,98,15-Apr-24,2,1,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,0,71.55,1,0,Check-Out
Resort Hotel - Ahmedabad,USA,CUST_513,INN00103,30-Jan-24,92,1-May-24,2,4,1,2,0,BB,Offline TA/TO,0,0,0,F,F,0,1,96.49,0,2,Check-Out
Resort Hotel - Indore,UAE,CUST_117,INN00104,7-Jun-24,95,10-Sep-24,2,4,2,0,0,BB,Online TA,0,0,0,A,C,0,1,85.8,1,2,Check-Out
Resort Hotel - Kochi,Germany,CUST_205,INN00105,6-Jun-24,102,16-Sep-24,2,5,2,0,0,BB,Online TA,0,0,0,E,E,0,0,96.3,0,1,Check-Out
Resort Hotel - Jaipur,Australia,CUST_448,INN00106,21-Jan-24,26,16-Feb-24,2,5,2,2,1,BB,Online TA,0,0,0,H,H,0,1,163,0,0,Canceled
Resort Hotel - Lucknow,India,CUST_090,INN00107,4-Oct-24,73,16-Dec-24,2,5,3,0,1,HB,Direct,0,0,0,D,D,0,0,172,0,1,Canceled
Resort Hotel - Goa,India,CUST_312,INN00108,26-Dec-23,102,6-Apr-24,2,5,2,0,1,BB,Online TA,0,0,0,A,A,0,0,110.7,0,1,Canceled
Resort Hotel - Hyderabad,France,CUST_346,INN00109,15-Feb-24,115,9-Jun-24,2,5,2,0,0,BB,Offline TA/TO,0,0,0,A,A,0,2,58.95,0,1,Check-Out
Resort Hotel - Chennai,Canada,CUST_309,INN00110,13-Sep-24,102,24-Dec-24,2,5,2,1,0,BB,Online TA,0,0,0,A,A,0,1,73.8,0,2,Check-Out
Resort Hotel - Bangalore,India,CUST_390,INN00111,3-Apr-24,86,28-Jun-24,2,5,2,0,0,BB,Online TA,0,0,0,D,D,0,1,97,0,2,Check-Out
Resort Hotel - Kochi,India,CUST_270,INN00112,22-Aug-24,78,8-Nov-24,2,5,2,1,0,HB,Online TA,0,0,0,E,F,0,0,139,0,2,Check-Out
Resort Hotel - Chandigarh,UK,CUST_454,INN00113,3-Apr-24,52,25-May-24,2,5,2,0,0,BB,Online TA,0,0,0,A,A,0,0,67.24,0,0,Check-Out
Resort Hotel - Goa,Germany,CUST_055,INN00114,14-Apr-24,29,13-May-24,2,6,3,0,0,BB,Online TA,0,0,0,E,E,0,0,116.5,0,1,Check-Out
Resort Hotel - Delhi,Canada,CUST_249,INN00115,4-Jan-24,101,14-Apr-24,2,6,2,0,1,BB,Online TA,0,0,0,E,E,0,0,96.3,0,1,Canceled
Resort Hotel - Delhi,India,CUST_501,INN00116,6-Oct-23,109,23-Jan-24,2,6,2,0,0,BB,Online TA,0,0,0,A,A,0,2,123,0,1,Check-Out
Resort Hotel - Delhi,India,CUST_451,INN00117,25-Feb-24,92,27-May-24,4,6,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,1,71.55,0,1,Check-Out
Resort Hotel - Mumbai,India,CUST_491,INN00118,7-Jun-24,92,7-Sep-24,4,6,2,0,0,BB,Offline TA/TO,0,0,0,D,D,0,1,71.55,0,1,Check-Out
Resort Hotel - Bangalore,Germany,CUST_085,INN00119,12-Nov-23,79,30-Jan-24,4,6,2,1,0,HB,Direct,0,0,0,D,D,1,2,149,0,1,Check-Out
Resort Hotel - Ahmedabad,UAE,CUST_177,INN00120,1-Oct-24,2,3-Oct-24,0,1,2,2,0,BB,Online TA,0,0,0,H,G,1,1,163,1,0,Check-Out
Resort Hotel - Bangalore,Germany,CUST_595,INN00121,5-Dec-23,30,4-Jan-24,0,1,2,0,0,BB,Offline TA/TO,0,0,0,D,C,0,1,79.5,0,0,Check-Out
Resort Hotel - Chennai,Australia,CUST_048,INN00122,28-Oct-24,51,18-Dec-24,0,1,1,0,1,HB,Online TA,0,0,0,A,A,0,1,105,0,0,Canceled
Resort Hotel - Bangalore,USA,CUST_363,INN00123,2-Oct-24,36,7-Nov-24,0,1,1,0,1,BB,Direct,0,0,0,E,G,1,1,123,0,0,No-Show
Resort Hotel - Ahmedabad,Australia,CUST_198,INN00124,21-Mar-24,73,2-Jun-24,0,1,2,0,1,BB,Online TA,0,0,0,A,A,0,1,73.8,0,2,Canceled
Resort Hotel - Bhopal,USA,CUST_083,INN00125,19-Jun-24,33,22-Jul-24,0,1,2,0,1,BB,Online TA,0,0,0,D,D,0,1,113,0,0,Canceled
Resort Hotel - Delhi,India,CUST_010,INN00126,15-Apr-24,32,17-May-24,0,1,4,0,0,FB,Complementary,0,0,0,H,H,2,2,0,0,1,Check-Out
Resort Hotel - Jaipur,India,CUST_462,INN00127,2-Jan-24,8,10-Jan-24,0,1,2,0,0,BB,Online TA,0,0,0,E,E,0,0,123,0,0,Check-Out
Resort Hotel - Goa,Canada,CUST_099,INN00128,13-Apr-24,100,22-Jul-24,1,1,2,0,0,BB,Online TA,0,0,0,A,C,0,1,73.8,1,1,Check-Out
Resort Hotel - Pune,India,CUST_282,INN00129,30-Sep-24,1,1-Oct-24,1,1,2,0,0,BB,Online TA,0,0,0,A,A,0,1,114.5,0,0,Check-Out
Resort Hotel - Bhopal,Australia,CUST_208,INN00130,17-Apr-24,100,26-Jul-24,1,1,2,0,0,BB,Online TA,0,0,0,A,A,0,0,73.8,0,2,Check-Out
Resort Hotel - Chandigarh,India,CUST_162,INN00131,9-May-24,100,17-Aug-24,1,1,2,0,0,BB,Online TA,0,0,0,A,C,0,0,73.8,0,1,Check-Out
Resort Hotel - Pune,India,CUST_181,INN00132,17-Oct-24,9,26-Oct-24,1,0,2,0,0,BB,Online TA,0,0,0,A,C,0,0,88.2,0,1,Check-Out
Resort Hotel - Mumbai,Australia,CUST_108,INN00133,11-Dec-24,5,16-Dec-24,1,0,2,0,1,BB,Online TA,0,0,0,D,D,0,0,97,0,0,Canceled
Resort Hotel - Goa,UAE,CUST_417,INN00134,4-May-24,0,4-May-24,1,0,2,0,0,BB,Online TA,0,0,0,A,C,1,0,85.1,0,0,Check-Out
Resort Hotel - Lucknow,UAE,CUST_067,INN00135,22-Jul-24,9,31-Jul-24,1,0,1,0,0,BB,Online TA,0,0,0,A,A,0,1,89,0,0,Check-Out
Resort Hotel - Goa,India,CUST_362,INN00136,3-Oct-24,2,5-Oct-24,1,0,1,0,0,BB,Online TA,0,0,0,A,D,0,1,80.1,0,0,Check-Out
Resort Hotel - Delhi,Germany,CUST_225,INN00137,25-Mar-24,2,27-Mar-24,1,0,2,0,0,BB,Online TA,0,0,0,A,E,0,0,98,0,0,Check-Out
Resort Hotel - Pune,UAE,CUST_447,INN00138,5-Jun-24,9,14-Jun-24,1,0,1,0,0,BB,Online TA,0,0,0,A,A,0,0,101,1,0,Check-Out
Resort Hotel - Goa,UAE,CUST_397,INN00139,21-Jun-24,5,26-Jun-24,1,0,2,0,1,BB,Online TA,0,0,0,D,D,0,1,97,0,0,Canceled
Resort Hotel - Chandigarh,France,CUST_516,INN00140,17-May-24,2,19-May-24,1,0,2,0,0,BB,Direct,0,0,0,G,G,0,0,167,0,1,Check-Out
Resort Hotel - Indore,Canada,CUST_369,INN00141,5-Apr-24,44,19-May-24,2,0,3,0,0,HB,Online TA,0,0,0,G,G,3,2,225,2,0,Check-Out
Resort Hotel - Goa,Australia,CUST_058,INN00142,7-Apr-24,80,26-Jun-24,2,0,2,0,0,BB,Online TA,0,0,0,D,E,0,1,97,1,0,Check-Out
Resort Hotel - Bangalore,UAE,CUST_127,INN00143,25-Oct-23,97,30-Jan-24,2,2,2,0,0,BB,Online TA,0,0,0,D,D,0,0,87.3,0,2,Check-Out
Resort Hotel - Chandigarh,UK,CUST_084,INN00144,23-Jul-24,109,9-Nov-24,2,3,2,1,0,BB,Offline TA/TO,0,0,0,A,D,0,0,85.59,1,2,Check-Out
Resort Hotel - Bhopal,France,CUST_286,INN00145,23-Aug-24,30,22-Sep-24,2,3,2,0,0,BB,Online TA,0,0,0,E,E,0,3,123,0,0,Check-Out
Resort Hotel - Pune,Germany,CUST_095,INN00146,22-Oct-24,64,25-Dec-24,2,3,2,0,0,BB,Online TA,0,0,0,E,E,0,1,107,0,0,Check-Out
Resort Hotel - Hyderabad,France,CUST_396,INN00147,25-Oct-24,39,3-Dec-24,2,4,2,0,0,BB,Online TA,0,0,0,H,H,0,0,163,0,0,Check-Out
Resort Hotel - Mumbai,UK,CUST_554,INN00148,1-Jul-24,90,29-Sep-24,2,4,2,0,0,BB,Online TA,0,0,0,A,A,0,0,82,0,0,Check-Out
Resort Hotel - Hyderabad,India,CUST_452,INN00149,3-Nov-24,34,7-Dec-24,2,4,2,2,1,BB,Online TA,0,0,0,H,H,0,1,163,0,0,Canceled
Resort Hotel - Ahmedabad,Australia,CUST_328,INN00150,14-Nov-23,93,15-Feb-24,2,5,2,0,1,HB,Offline TA/TO,0,0,0,D,D,0,1,105.5,0,0,Canceled
