Customer_ID,Customer Country,Booking_ID,Hotel,City,Booking Date,Lead Time ,Arrival Date,Adults,Childrens,Total Guests,No. of Weekend Nights,No. of Week Nights,Total Nights Stay,Meal Type,Booking Status,Customer Cancel Count,Average Daily Rate,Market Segment,Reserved Room Type,Assigned Room Type,Special Request
CUST_070,India,INN00021,Resort Hotel,Lucknow,17-Oct-24,37,23-Nov-24,2,0,2,2,2,4,Breakfast,0,0,97,Online Self / TA,Premium,Premium,1
CUST_418,Australia,INN00022,Resort Hotel,Kochi,2-Nov-23,72,13-Jan-24,2,0,2,0,1,1,Breakfast,1,1,85,Online Self / TA,Standard,Standard,1
CUST_060,India,INN00023,Resort Hotel,Jaipur,23-Apr-24,72,4-Jul-24,2,0,2,2,4,6,Breakfast,0,0,85,Online Self / TA,Standard,Standard,1
CUST_168,Australia,INN00024,Resort Hotel,Indore,10-Jan-24,72,22-Mar-24,3,0,3,0,3,3,Breakfast,0,0,100,Online Self / TA,Deluxe,Deluxe,1
CUST_221,India,INN00025,City Hotel,Chennai,21-Oct-23,127,25-Feb-24,2,0,2,2,1,3,Not Selected,0,0,95,Company TA/TO,Deluxe,Deluxe,1
CUST_164,UK,INN00026,City Hotel,Kolkata,7-May-24,78,24-Jul-24,2,0,2,0,2,2,Breakfast,0,1,64,Direct,Deluxe,Premium,0
CUST_046,France,INN00027,City Hotel,Goa,14-Oct-24,48,1-Dec-24,2,0,2,1,1,2,Breakfast,0,0,80,Online Self / TA,Deluxe,Premium,0
CUST_513,USA,INN00028,City Hotel,Kolkata,4-Sep-24,60,3-Nov-24,2,0,2,0,2,2,Breakfast,0,1,107,Direct,Premium,Premium,2
CUST_072,India,INN00029,Resort Hotel,Jaipur,14-Aug-24,77,30-Oct-24,2,2,4,1,2,3,Breakfast,1,2,94,Online Self / TA,Standard,Standard,0
CUST_155,Germany,INN00030,Resort Hotel,Delhi,6-Dec-23,99,14-Mar-24,2,0,2,0,2,2,Breakfast & Dinner,1,3,87,Online Self / TA,Deluxe,Deluxe,1
CUST_023,USA,INN00031,Resort Hotel,Mumbai,15-Aug-24,118,11-Dec-24,1,0,1,1,1,2,Breakfast,0,0,62,Company TA/TO,Standard,Standard,2
CUST_535,Germany,INN00032,City Hotel,Bhopal,26-Sep-24,95,30-Dec-24,2,0,2,2,2,4,Breakfast,0,0,64,Company TA/TO,Deluxe,Deluxe,0
CUST_369,Canada,INN00033,Resort Hotel,Bangalore,3-Oct-23,96,7-Jan-24,2,0,2,0,3,3,Breakfast,0,2,108,Direct,Premium,Premium,2
CUST_239,Canada,INN00034,Resort Hotel,Chandigarh,2-Mar-24,69,10-May-24,2,0,2,0,1,1,Not Selected,0,0,66,Online Self / TA,Standard,Standard,0
CUST_497,UAE,INN00035,Resort Hotel,Hyderabad,24-Jun-24,45,8-Aug-24,2,0,2,0,2,2,Breakfast,1,3,109,Online Self / TA,Deluxe,Deluxe,1
CUST_205,Germany,INN00036,Resort Hotel,Kochi,13-Mar-24,40,22-Apr-24,2,0,2,0,1,1,Not Selected,0,0,109,Online Self / TA,Deluxe,Deluxe,1
CUST_339,Canada,INN00037,Resort Hotel,Indore,6-Feb-24,15,21-Feb-24,2,0,2,2,1,3,Breakfast,1,1,98,Company TA/TO,Standard,Standard,0
CUST_578,Australia,INN00038,Resort Hotel,Jaipur,23-Jan-24,36,28-Feb-24,2,2,4,0,1,1,Breakfast,1,2,109,Online Self / TA,Deluxe,Deluxe,1
CUST_389,Canada,INN00039,Resort Hotel,Delhi,5-Dec-23,43,17-Jan-24,3,0,3,2,3,5,Not Selected,0,0,109,Direct,Deluxe,Premium,0
CUST_227,UAE,INN00040,Resort Hotel,Bangalore,6-Nov-23,70,15-Jan-24,2,0,2,2,1,3,Breakfast,0,1,137,Direct,Premium,Premium,1
CUST_055,Germany,INN00041,Resort Hotel,Pune,20-Dec-23,45,3-Feb-24,2,0,2,0,4,4,Breakfast,0,0,118,Online Self / TA,Premium,Premium,0
CUST_308,Australia,INN00042,Resort Hotel,Goa,9-Dec-23,45,23-Jan-24,1,0,1,0,2,2,Breakfast,0,3,80,Company TA/TO,Deluxe,Premium,0
CUST_599,Canada,INN00043,City Hotel,Pune,24-Apr-24,16,10-May-24,2,0,2,2,1,3,Breakfast,1,2,123,Online Self / TA,Premium,Premium,0
CUST_160,India,INN00044,Resort Hotel,Jaipur,23-Aug-24,70,1-Nov-24,3,0,3,1,1,2,Not Selected,1,1,137,Online Self / TA,Premium,Premium,1
CUST_242,India,INN00045,Resort Hotel,Mumbai,28-Feb-24,107,14-Jun-24,2,0,2,0,4,4,Breakfast,0,1,111,Company TA/TO,Standard,Standard,2
CUST_107,UAE,INN00046,City Hotel,Pune,17-May-24,47,3-Jul-24,2,0,2,0,3,3,Breakfast,1,1,153,Online Self / TA,Premium,Premium,0
CUST_543,USA,INN00047,City Hotel,Kochi,1-May-24,96,5-Aug-24,2,0,2,0,2,2,Breakfast,0,0,59,Company TA/TO,Standard,Standard,1
CUST_038,Australia,INN00048,City Hotel,Lucknow,14-Oct-23,113,4-Feb-24,2,0,2,0,1,1,Breakfast & Dinner,1,2,83,Online Self / TA,Premium,Premium,2
CUST_308,Australia,INN00049,City Hotel,Chandigarh,20-Jan-24,90,19-Apr-24,2,2,4,0,4,4,Not Selected,1,3,82,Company TA/TO,Standard,Standard,0
CUST_346,France,INN00050,City Hotel,Pune,8-Nov-24,50,28-Dec-24,2,0,2,1,3,4,Breakfast,0,2,119,Direct,Premium,Premium,1
CUST_217,UAE,INN00051,Resort Hotel,Delhi,2-Dec-23,113,24-Mar-24,2,0,2,2,5,7,Not Selected,1,2,68,Online Self / TA,Deluxe,Deluxe,2
CUST_391,India,INN00052,Resort Hotel,Ahmedabad,25-Oct-23,93,26-Jan-24,2,0,2,2,2,4,Breakfast & Dinner,0,1,56,Online Self / TA,Standard,Deluxe,0
CUST_366,France,INN00053,Resort Hotel,Kolkata,17-Apr-24,76,2-Jul-24,2,0,2,1,2,3,Breakfast,0,1,111,Company TA/TO,Deluxe,Deluxe,0
CUST_017,UAE,INN00054,Resort Hotel,Bangalore,24-Aug-24,3,27-Aug-24,2,0,2,0,4,4,Breakfast,0,1,88,Company TA/TO,Standard,Standard,0
CUST_294,UK,INN00055,Resort Hotel,Kolkata,4-Nov-24,1,5-Nov-24,2,1,3,1,0,1,Not Selected,0,0,147,Online Self / TA,Premium,Premium,0
CUST_465,Germany,INN00056,Resort Hotel,Chandigarh,26-Jan-24,1,27-Jan-24,2,0,2,1,3,4,Breakfast,0,0,107,Online Self / TA,Deluxe,Premium,2
CUST_431,India,INN00057,City Hotel,Lucknow,15-Jul-24,0,15-Jul-24,2,1,3,0,1,1,Not Selected,0,0,147,Online Self / TA,Premium,Premium,0
CUST_502,India,INN00058,Resort Hotel,Delhi,14-Oct-24,0,14-Oct-24,2,0,2,1,2,3,Breakfast,1,2,118,Company TA/TO,Standard,Standard,2
CUST_301,India,INN00059,Resort Hotel,Hyderabad,21-Nov-24,0,21-Nov-24,2,0,2,1,4,5,Breakfast,0,1,123,Online Self / TA,Premium,Premium,0
CUST_132,India,INN00060,Resort Hotel,Bangalore,18-Apr-24,14,2-May-24,2,0,2,0,3,3,Breakfast,0,0,98,Online Self / TA,Standard,Standard,1
CUST_405,Germany,INN00061,Resort Hotel,Jaipur,31-Jul-24,10,10-Aug-24,2,0,2,0,1,1,Breakfast,0,0,118,Direct,Premium,Premium,0
CUST_295,Germany,INN00062,Resort Hotel,Kolkata,25-May-24,5,30-May-24,2,0,2,0,3,3,Breakfast,1,1,135,Online Self / TA,Premium,Premium,2
CUST_071,India,INN00063,Resort Hotel,Indore,15-Apr-24,17,2-May-24,2,0,2,0,2,2,Breakfast,0,0,133,Online Self / TA,Premium,Premium,1
CUST_068,Australia,INN00064,City Hotel,Pune,4-Apr-24,93,6-Jul-24,2,0,2,0,1,1,Breakfast,1,2,59,Online Self / TA,Standard,Deluxe,0
CUST_289,Canada,INN00065,City Hotel,Chandigarh,28-Jul-24,3,31-Jul-24,2,2,4,2,1,3,Breakfast,1,2,136,Online Self / TA,Standard,Deluxe,2
CUST_234,UK,INN00066,City Hotel,Kochi,13-Nov-24,10,23-Nov-24,2,0,2,0,3,3,Breakfast,1,1,153,Online Self / TA,Premium,Premium,0
CUST_464,UK,INN00067,City Hotel,Delhi,5-Jan-24,3,8-Jan-24,2,0,2,0,2,2,Breakfast,0,0,111,Online Self / TA,Standard,Standard,0
CUST_164,UK,INN00068,Resort Hotel,Pune,12-Apr-24,51,2-Jun-24,2,0,2,0,2,2,Breakfast,0,1,97,Company TA/TO,Deluxe,Deluxe,0
CUST_359,Canada,INN00069,Resort Hotel,Bangalore,15-Jun-24,71,25-Aug-24,2,0,2,0,1,1,Breakfast,0,2,110,Company TA/TO,Standard,Standard,2
CUST_142,India,INN00070,Resort Hotel,Chandigarh,1-Dec-23,63,2-Feb-24,2,0,2,1,2,3,Breakfast,0,0,82,Direct,Standard,Standard,2
CUST_326,France,INN00071,Resort Hotel,Bhopal,3-Jul-24,62,3-Sep-24,2,0,2,0,3,3,Breakfast,0,2,97,Direct,Deluxe,Deluxe,1
CUST_561,India,INN00072,Resort Hotel,Chennai,21-May-24,101,30-Aug-24,2,0,2,1,0,1,Not Selected,0,1,74,Company TA/TO,Standard,Standard,1
CUST_488,Australia,INN00073,Resort Hotel,Pune,22-Oct-24,2,24-Oct-24,2,2,4,1,1,2,Breakfast,0,0,92,Online Self / TA,Standard,Standard,0
CUST_395,Germany,INN00074,Resort Hotel,Ahmedabad,15-Dec-24,15,30-Dec-24,2,0,2,0,2,2,Breakfast,0,1,115,Company TA/TO,Standard,Deluxe,0
CUST_300,India,INN00075,City Hotel,Ahmedabad,23-Dec-23,51,12-Feb-24,2,0,2,2,3,5,Breakfast,1,1,110,Online Self / TA,Standard,Standard,0
CUST_468,Australia,INN00076,City Hotel,Ahmedabad,11-Aug-24,3,14-Aug-24,2,0,2,1,4,5,Breakfast,0,1,91,Direct,Standard,Deluxe,0
CUST_546,France,INN00077,Resort Hotel,Mumbai,16-Nov-23,48,3-Jan-24,2,0,2,1,1,2,Breakfast,0,0,123,Online Self / TA,Premium,Premium,0
CUST_390,India,INN00078,Resort Hotel,Lucknow,4-Jul-24,2,6-Jul-24,2,0,2,1,2,3,Breakfast,0,1,122,Company TA/TO,Standard,Deluxe,0
CUST_517,UAE,INN00079,Resort Hotel,Bangalore,14-Nov-23,72,25-Jan-24,2,2,4,2,5,7,Breakfast,0,1,111,Direct,Standard,Standard,0
CUST_035,Germany,INN00080,Resort Hotel,Chandigarh,29-Feb-24,81,20-May-24,2,0,2,0,5,5,Breakfast,0,0,86,Online Self / TA,Deluxe,Deluxe,0
CUST_262,India,INN00081,Resort Hotel,Delhi,5-May-24,99,12-Aug-24,2,0,2,0,2,2,Breakfast,1,2,59,Online Self / TA,Standard,Deluxe,0
CUST_247,UAE,INN00082,City Hotel,Pune,26-Dec-23,368,28-Dec-24,2,0,2,0,5,5,Breakfast,0,0,56,Online Self / TA,Standard,Deluxe,0
CUST_065,Germany,INN00083,Resort Hotel,Hyderabad,11-Nov-23,364,9-Nov-24,2,0,2,2,0,2,Not Selected,1,2,56,Online Self / TA,Standard,Standard,0
CUST_477,UAE,INN00084,Resort Hotel,Bangalore,7-Mar-24,81,27-May-24,2,1,3,1,4,5,Breakfast,0,0,124,Direct,Standard,Standard,1
CUST_358,Australia,INN00085,Resort Hotel,Delhi,13-Jul-24,99,20-Oct-24,2,0,2,1,2,3,Breakfast,1,2,111,Company TA/TO,Premium,Premium,0
CUST_488,Australia,INN00086,Resort Hotel,Ahmedabad,3-May-23,324,22-Mar-24,2,0,2,1,0,1,Breakfast,0,0,135,Online Self / TA,Premium,Premium,0
CUST_595,Germany,INN00087,Resort Hotel,Mumbai,22-Sep-24,69,30-Nov-24,2,0,2,2,3,5,Not Selected,0,1,92,Online Self / TA,Premium,Premium,1
CUST_308,Australia,INN00088,Resort Hotel,Bangalore,9-Dec-23,79,26-Feb-24,2,0,2,0,2,2,Breakfast,0,3,109,Online Self / TA,Standard,Standard,2
CUST_236,France,INN00089,Resort Hotel,Jaipur,1-Jun-24,12,13-Jun-24,2,0,2,0,1,1,Not Selected,1,1,74,Online Self / TA,Standard,Standard,0
CUST_106,France,INN00090,City Hotel,Ahmedabad,16-Sep-24,9,25-Sep-24,2,0,2,0,3,3,Breakfast,0,0,98,Online Self / TA,Standard,Standard,2
CUST_136,France,INN00091,City Hotel,Delhi,5-Sep-24,1,6-Sep-24,2,0,2,1,3,4,Not Selected,0,1,131,Direct,Standard,Standard,1
CUST_389,Canada,INN00092,City Hotel,Mumbai,14-Apr-24,21,5-May-24,2,1,3,1,2,3,Breakfast,0,0,123,Online Self / TA,Premium,Premium,0
CUST_560,India,INN00093,Resort Hotel,Pune,15-Sep-24,9,24-Sep-24,3,0,3,2,1,3,Breakfast,0,1,95,Direct,Deluxe,Deluxe,0
CUST_218,Australia,INN00094,Resort Hotel,Lucknow,30-Apr-24,109,17-Aug-24,3,0,3,0,1,1,Breakfast,0,0,123,Direct,Standard,Deluxe,2
CUST_274,UK,INN00095,Resort Hotel,Lucknow,20-May-24,109,6-Sep-24,2,0,2,2,5,7,Breakfast,0,0,123,Company TA/TO,Standard,Standard,1
CUST_500,India,INN00096,Resort Hotel,Kolkata,9-Jan-24,72,21-Mar-24,2,0,2,0,2,2,Breakfast,1,1,74,Online Self / TA,Standard,Deluxe,1
CUST_578,Australia,INN00097,Resort Hotel,Chennai,18-Jul-24,63,19-Sep-24,2,1,3,0,2,2,Breakfast & Dinner,1,2,117,Company TA/TO,Premium,Premium,1
CUST_069,Canada,INN00098,Resort Hotel,Chandigarh,19-Sep-24,63,21-Nov-24,2,0,2,0,4,4,Breakfast,0,0,197,Online Self / TA,Premium,Premium,1
CUST_004,UK,INN00099,Resort Hotel,Ahmedabad,12-Oct-23,101,21-Jan-24,2,0,2,0,3,3,Breakfast,0,1,99,Company TA/TO,Deluxe,Deluxe,2
CUST_329,Canada,INN00100,City Hotel,Jaipur,22-Sep-23,102,2-Jan-24,2,0,2,1,3,4,Breakfast,1,1,91,Online Self / TA,Premium,Premium,0
CUST_357,UAE,INN00101,City Hotel,Chandigarh,1-Aug-24,4,5-Aug-24,2,2,4,1,0,1,Not Selected,0,0,93,Direct,Standard,Deluxe,1
CUST_293,USA,INN00102,City Hotel,Chennai,8-Jan-24,98,15-Apr-24,2,1,3,1,2,3,Breakfast,0,0,72,Direct,Deluxe,Deluxe,0
CUST_513,USA,INN00103,Resort Hotel,Kochi,30-Jan-24,92,1-May-24,2,0,2,0,4,4,Breakfast,1,1,96,Company TA/TO,Premium,Premium,2
CUST_117,UAE,INN00104,Resort Hotel,Lucknow,7-Jun-24,95,10-Sep-24,2,0,2,0,1,1,Breakfast,0,1,86,Company TA/TO,Standard,Deluxe,2
CUST_205,Germany,INN00105,Resort Hotel,Bhopal,6-Jun-24,102,16-Sep-24,2,0,2,0,3,3,Breakfast,0,0,96,Company TA/TO,Premium,Premium,1
CUST_448,Australia,INN00106,Resort Hotel,Delhi,21-Jan-24,26,16-Feb-24,3,1,4,0,3,3,Breakfast,0,1,163,Direct,Premium,Premium,0
CUST_090,India,INN00107,Resort Hotel,Mumbai,4-Oct-24,73,16-Dec-24,2,0,2,1,4,5,Breakfast,0,0,172,Online Self / TA,Deluxe,Deluxe,1
CUST_312,India,INN00108,Resort Hotel,Kochi,26-Dec-23,102,6-Apr-24,2,2,4,1,3,4,Breakfast,0,0,111,Online Self / TA,Standard,Standard,1
CUST_346,France,INN00109,City Hotel,Lucknow,15-Feb-24,115,9-Jun-24,2,2,4,0,1,1,Not Selected,1,2,59,Online Self / TA,Standard,Standard,1
CUST_309,Canada,INN00110,City Hotel,Ahmedabad,13-Sep-24,102,24-Dec-24,2,0,2,2,1,3,Breakfast,0,1,74,Online Self / TA,Standard,Deluxe,2
CUST_390,India,INN00111,City Hotel,Pune,3-Apr-24,86,28-Jun-24,2,0,2,0,2,2,Breakfast,0,1,97,Online Self / TA,Deluxe,Deluxe,2
CUST_270,India,INN00112,City Hotel,Kolkata,22-Aug-24,78,8-Nov-24,2,0,2,1,0,1,Not Selected,0,0,139,Groups,Premium,Premium,2
CUST_454,UK,INN00113,Resort Hotel,Indore,3-Apr-24,52,25-May-24,2,0,2,0,3,3,Not Selected,0,0,67,Online Self / TA,Standard,Deluxe,0
CUST_055,Germany,INN00114,Resort Hotel,Goa,14-Apr-24,29,13-May-24,2,0,2,2,3,5,Breakfast,0,0,117,Online Self / TA,Premium,Premium,1
CUST_249,Canada,INN00115,Resort Hotel,Chandigarh,4-Jan-24,101,14-Apr-24,2,2,4,2,2,4,Breakfast,0,0,96,Direct,Premium,Premium,1
CUST_501,India,INN00116,Resort Hotel,Lucknow,6-Oct-23,109,23-Jan-24,2,0,2,2,2,4,Breakfast,0,2,123,Online Self / TA,Standard,Standard,1
CUST_451,India,INN00117,City Hotel,Jaipur,25-Feb-24,92,27-May-24,2,0,2,2,5,7,Breakfast,0,1,72,Company TA/TO,Deluxe,Deluxe,1
CUST_491,India,INN00118,City Hotel,Delhi,7-Jun-24,92,7-Sep-24,2,0,2,2,5,7,Breakfast,1,1,72,Online Self / TA,Deluxe,Deluxe,1
CUST_085,Germany,INN00119,City Hotel,Indore,12-Nov-23,79,30-Jan-24,2,0,2,0,1,1,Breakfast,0,2,149,Online Self / TA,Deluxe,Deluxe,1
CUST_177,UAE,INN00120,Resort Hotel,Chandigarh,1-Oct-24,2,3-Oct-24,2,0,2,2,3,5,Breakfast,1,1,163,Online Self / TA,Premium,Premium,0
CUST_595,Germany,INN00121,City Hotel,Jaipur,5-Dec-23,30,4-Jan-24,2,0,2,0,3,3,Breakfast,0,1,80,Groups,Deluxe,Deluxe,0
CUST_048,Australia,INN00122,City Hotel,Jaipur,28-Oct-24,51,18-Dec-24,1,0,1,0,2,2,Breakfast & Dinner,0,1,105,Company TA/TO,Standard,Standard,0
CUST_363,USA,INN00123,Resort Hotel,Hyderabad,2-Oct-24,36,7-Nov-24,2,0,2,1,3,4,Breakfast,1,1,123,Online Self / TA,Premium,Premium,0
CUST_198,Australia,INN00124,Resort Hotel,Indore,21-Mar-24,73,2-Jun-24,2,0,2,0,3,3,Breakfast,0,1,74,Online Self / TA,Standard,Standard,2
CUST_083,USA,INN00125,Resort Hotel,Chandigarh,19-Jun-24,33,22-Jul-24,2,0,2,2,0,2,Breakfast,0,1,113,Online Self / TA,Deluxe,Premium,0
CUST_010,India,INN00126,Resort Hotel,Pune,15-Apr-24,32,17-May-24,1,0,1,0,2,2,Breakfast,1,2,0,Direct,Premium,Premium,1
CUST_462,India,INN00127,Resort Hotel,Kolkata,2-Jan-24,8,10-Jan-24,2,0,2,0,1,1,Breakfast,0,0,123,Direct,Premium,Premium,0
CUST_099,Canada,INN00128,Resort Hotel,Indore,13-Apr-24,100,22-Jul-24,2,0,2,0,2,2,Breakfast,0,1,74,Direct,Standard,Standard,1
CUST_282,India,INN00129,Resort Hotel,Lucknow,30-Sep-24,1,1-Oct-24,3,0,3,2,3,5,Breakfast,1,1,115,Online Self / TA,Standard,Standard,0
CUST_208,Australia,INN00130,Resort Hotel,Kolkata,17-Apr-24,100,26-Jul-24,2,0,2,1,4,5,Breakfast,0,0,74,Company TA/TO,Standard,Standard,2
CUST_162,India,INN00131,Resort Hotel,Mumbai,9-May-24,100,17-Aug-24,2,0,2,0,2,2,Not Selected,0,0,74,Online Self / TA,Standard,Deluxe,1
CUST_181,India,INN00132,City Hotel,Hyderabad,17-Oct-24,9,26-Oct-24,2,0,2,1,2,3,Breakfast,0,0,88,Online Self / TA,Standard,Standard,1
CUST_108,Australia,INN00133,City Hotel,Bhopal,11-Dec-24,5,16-Dec-24,3,0,3,2,4,6,Not Selected,0,0,97,Online Self / TA,Deluxe,Premium,0
CUST_417,UAE,INN00134,Resort Hotel,Hyderabad,4-May-24,0,4-May-24,2,2,4,1,4,5,Breakfast,0,0,85,Direct,Standard,Standard,0
CUST_067,UAE,INN00135,Resort Hotel,Ahmedabad,22-Jul-24,9,31-Jul-24,2,0,2,0,4,4,Not Selected,1,1,89,Company TA/TO,Standard,Standard,0
CUST_362,India,INN00136,Resort Hotel,Bangalore,3-Oct-24,2,5-Oct-24,2,0,2,0,1,1,Breakfast,1,1,80,Direct,Standard,Deluxe,0
CUST_225,Germany,INN00137,Resort Hotel,Bhopal,25-Mar-24,2,27-Mar-24,2,1,3,1,0,1,Breakfast,0,0,98,Online Self / TA,Standard,Standard,0
CUST_447,UAE,INN00138,Resort Hotel,Lucknow,5-Jun-24,9,14-Jun-24,3,0,3,2,5,7,Breakfast,0,0,101,Direct,Standard,Deluxe,0
CUST_397,UAE,INN00139,Resort Hotel,Lucknow,21-Jun-24,5,26-Jun-24,2,1,3,2,2,4,Breakfast,0,1,97,Online Self / TA,Deluxe,Premium,0
CUST_516,France,INN00140,City Hotel,Lucknow,17-May-24,2,19-May-24,2,0,2,2,4,6,Breakfast,0,0,167,Direct,Premium,Premium,1
CUST_369,Canada,INN00141,City Hotel,Jaipur,5-Apr-24,44,19-May-24,2,2,4,1,2,3,Breakfast,1,2,225,Online Self / TA,Premium,Premium,0
CUST_058,Australia,INN00142,City Hotel,Kochi,7-Apr-24,80,26-Jun-24,2,2,4,0,2,2,Breakfast,0,1,97,Online Self / TA,Deluxe,Deluxe,0
CUST_127,UAE,INN00143,City Hotel,Kochi,25-Oct-23,97,30-Jan-24,2,1,3,0,2,2,Breakfast,0,0,87,Online Self / TA,Deluxe,Premium,2
CUST_084,UK,INN00144,Resort Hotel,Pune,23-Jul-24,109,9-Nov-24,2,0,2,2,2,4,Breakfast,0,0,86,Company TA/TO,Standard,Standard,2
CUST_286,France,INN00145,Resort Hotel,Bangalore,23-Aug-24,30,22-Sep-24,2,0,2,1,0,1,Breakfast,1,3,123,Online Self / TA,Premium,Premium,0
CUST_095,Germany,INN00146,Resort Hotel,Bangalore,22-Oct-24,64,25-Dec-24,2,0,2,0,2,2,Breakfast,1,1,107,Online Self / TA,Premium,Premium,0
CUST_396,France,INN00147,Resort Hotel,Lucknow,25-Oct-24,39,3-Dec-24,2,0,2,0,4,4,Not Selected,0,0,163,Direct,Premium,Premium,0
CUST_554,UK,INN00148,Resort Hotel,Hyderabad,1-Jul-24,90,29-Sep-24,2,2,4,1,2,3,Not Selected,0,0,82,Online Self / TA,Standard,Standard,0
CUST_452,India,INN00149,Resort Hotel,Jaipur,3-Nov-24,34,7-Dec-24,2,0,2,0,1,1,Breakfast,0,1,163,Online Self / TA,Premium,Premium,0
CUST_328,Australia,INN00150,City Hotel,Mumbai,14-Nov-23,93,15-Feb-24,2,0,2,2,3,5,Breakfast,0,1,106,Online Self / TA,Deluxe,Deluxe,0
CUST_076,France,INN00151,City Hotel,Jaipur,29-Oct-23,97,3-Feb-24,2,0,2,1,1,2,Breakfast,0,1,164,Direct,Deluxe,Deluxe,1
CUST_597,UAE,INN00152,City Hotel,Indore,4-Jul-24,29,2-Aug-24,2,2,4,0,3,3,Breakfast,0,0,97,Online Self / TA,Premium,Premium,1
CUST_370,India,INN00153,Resort Hotel,Mumbai,27-Jul-24,101,5-Nov-24,2,0,2,1,3,4,Not Selected,0,0,114,Online Self / TA,Standard,Standard,1
CUST_304,UK,INN00154,Resort Hotel,Bhopal,24-Nov-24,27,21-Dec-24,2,0,2,0,2,2,Breakfast & Dinner,0,0,98,Direct,Premium,Premium,0
CUST_421,India,INN00155,Resort Hotel,Pune,12-Aug-24,8,20-Aug-24,2,0,2,0,1,1,Breakfast & Dinner,0,1,175,Online Self / TA,Premium,Premium,1
CUST_146,France,INN00156,Resort Hotel,Mumbai,1-May-24,82,22-Jul-24,2,0,2,0,3,3,Breakfast,0,0,64,Online Self / TA,Deluxe,Deluxe,2
